##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	28_4D_mbnl_S20_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12428766
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
1103	14-15	-0.3835673815833829
1103	16-17	-0.3717743139209091
1103	18-19	-0.26202961149923
1103	20-21	-0.20975555782307254
1103	22-23	-0.32114141363602045
1103	24-25	-0.24242109658469246
1103	26-27	-0.24394345826953412
1103	28-29	-0.36423255678753463
1103	30-31	-0.3945276890905447
1103	32-33	-0.2703063706364901
1103	34-35	-0.4214995961851926
1103	36-37	-0.5645136043663967
1103	38-39	-0.7961726986094035
1103	40-41	-0.688378452223084
1103	42-43	-0.6213414887932913
1103	44-45	-0.387678782723647
1103	46-47	-0.3403508156672004
1103	48-49	-0.24887335338700467
1103	50-51	-0.25316635892691153
1103	52-53	-0.3135355730013245
1103	54-55	-0.23641997440925877
1103	56-57	-0.37995343384593383
1103	58-59	-0.3998015167834197
1103	60-61	-0.2644501306450806
1103	62-63	-0.34903005331518955
1103	64-65	-0.29733161788318796
1103	66-67	-0.20599671118811358
1103	68-69	-0.23927563126130025
1103	70-71	-0.4255346646767677
1103	72-73	-0.2543150077816563
1103	74-75	-0.36451118685136663
1103	76-77	-0.3613370466889947
1103	78-79	-0.24342384967375352
1103	80-81	-0.3616426711464982
1103	82-83	-0.3483594082480508
1103	84-85	-0.3607732502222021
1103	86-87	-0.31631891315259963
1103	88-89	-0.4885343645441367
1103	90-91	-0.5304051072235083
1103	92-93	-0.4489870443827897
1103	94-95	-0.40570816558010137
1103	96-97	-0.48869085805579715
1103	98-99	-0.36222032130376647
1103	100-101	-0.5754990469839285
1104	1	-0.4502379559841998
1104	2	-0.6759345734097408
1104	3	-1.369316964819319
1104	4	-1.0827125591985691
1104	5	-0.9995737872364643
1104	6	-1.3700503527148697
1104	7	-1.2336274127434308
1104	8	-1.4338930470797777
1104	9	-0.9731247504044234
1104	10-11	-0.5856093983238537
1104	12-13	-0.19555846277597055
1104	14-15	-0.2275726886809153
1104	16-17	-0.24241202044806442
1104	18-19	-0.20425798426525432
1104	20-21	-0.1408536304569168
1104	22-23	-0.23404579896527622
1104	24-25	-0.07460410561338193
1104	26-27	-0.12259414130299007
1104	28-29	-0.19650788271265895
1104	30-31	-0.2120053148007628
1104	32-33	-0.16868343943232844
1104	34-35	-0.33018622911937
1104	36-37	-0.405593142721969
1104	38-39	-0.6081410576374964
1104	40-41	-0.626534131415518
1104	42-43	-0.4650864130005914
1104	44-45	-0.26301073467693215
1104	46-47	-0.17932492190175253
1104	48-49	-0.07141907460425756
1104	50-51	-0.1774671543681947
1104	52-53	-0.15300997406777128
1104	54-55	-0.03057212350765326
1104	56-57	-0.1889262450418343
1104	58-59	-0.18205521110824208
1104	60-61	-0.0843511428215038
1104	62-63	-0.12888311719407852
1104	64-65	-0.15189344155189133
1104	66-67	-0.13168037437723967
1104	68-69	-0.10966210753672101
1104	70-71	-0.18844806801059377
1104	72-73	-0.08471865824421343
1104	74-75	-0.19708112645243148
1104	76-77	-0.21806542299996323
1104	78-79	-0.050035749498754
1104	80-81	-0.15691194033058764
1104	82-83	-0.14325935632216158
1104	84-85	-0.07746335870513832
1104	86-87	-0.14053658633186217
1104	88-89	-0.28486806541306464
1104	90-91	-0.2306052902087501
1104	92-93	-0.26838644009124835
1104	94-95	-0.3433954997719013
1104	96-97	-0.26466709811912636
1104	98-99	-0.07837585887939724
1104	100-101	-0.23831907611245384
1105	1	-0.4148109955881232
1105	2	-0.6241440201222375
1105	3	-1.2005697737110594
1105	4	-0.8954194733616916
1105	5	-0.9303467222135708
1105	6	-1.3220275494226925
1105	7	-1.201280269865741
1105	8	-1.2791174006709554
1105	9	-1.1377556937721778
1105	10-11	-1.1923310959993643
1105	12-13	-0.4100844925865559
1105	14-15	-0.2817389057658275
1105	16-17	-0.13138571363637652
1105	18-19	-0.20178398962773514
1105	20-21	-0.1645146051025108
1105	22-23	-0.2198168312398181
1105	24-25	-0.17410885475883475
1105	26-27	-0.17490963966198336
1105	28-29	-0.2224387873590743
1105	30-31	-0.1907185723064444
1105	32-33	-0.018670749174205525
1105	34-35	-0.09205970457428947
1105	36-37	-0.09050113465929854
1105	38-39	-0.3218255731952411
1105	40-41	-0.3974381532961644
1105	42-43	-0.2979249596427138
1105	44-45	-0.2521924293248574
1105	46-47	-0.20411038320330022
1105	48-49	-0.10782656168442628
1105	50-51	-0.0740483907539442
1105	52-53	-0.20452287773905908
1105	54-55	-0.021730187282216207
1105	56-57	-0.2155611157860946
1105	58-59	-0.16108412007340434
1105	60-61	-0.11184321474456027
1105	62-63	-0.2089101453677884
1105	64-65	-0.22356822581525648
1105	66-67	-0.19647453682424754
1105	68-69	-0.1438624898164278
1105	70-71	-0.24229023953992623
1105	72-73	-0.12211510689221683
1105	74-75	-0.21460563344020755
1105	76-77	-0.2035982391476736
1105	78-79	-0.22824900112693314
1105	80-81	-0.2727136394441061
1105	82-83	-0.14298923202534297
1105	84-85	-0.09186890019861238
1105	86-87	-0.10701968659769534
1105	88-89	-0.33427487895063734
1105	90-91	-0.3898466569278085
1105	92-93	-0.2745224264549364
1105	94-95	-0.38458624708946587
1105	96-97	-0.3876641568653767
1105	98-99	-0.3090598710932042
1105	100-101	-0.366383395347718
1106	1	-0.4467755219035716
1106	2	-0.6823591439034047
1106	3	-0.8205558716206767
1106	4	-0.8563744599707164
1106	5	-0.8480926607098098
1106	6	-0.9454035730742163
1106	7	-1.0638383885898008
1106	8	-1.0691455508320686
1106	9	-1.0112409931601078
1106	10-11	-0.9343430721484935
1106	12-13	-0.5615838747060735
1106	14-15	-0.43009180752003573
1106	16-17	-0.2796249126455166
1106	18-19	-0.2523326211118402
1106	20-21	-0.16391603262994892
1106	22-23	-0.18951441008793068
1106	24-25	-0.08764808040540828
1106	26-27	-0.15286416709717798
1106	28-29	-0.2894595240931963
1106	30-31	-0.2836178573301069
1106	32-33	-0.09726825791358351
1106	34-35	-0.29692174783671277
1106	36-37	-0.32881086842749596
1106	38-39	-0.5776388731514928
1106	40-41	-0.4947398578340412
1106	42-43	-0.39533276000951645
1106	44-45	-0.35484106209055
1106	46-47	-0.16485815853922503
1106	48-49	-0.12464709737781021
1106	50-51	-0.039649775579995605
1106	52-53	-0.2204890769504999
1106	54-55	-0.03968930228532486
1106	56-57	-0.19941795652739103
1106	58-59	-0.1047396761192445
1106	60-61	-0.07676868677555859
1106	62-63	-0.1920555088758107
1106	64-65	-0.22165054110101323
1106	66-67	-0.06764797128841593
1106	68-69	-0.23901164961268506
1106	70-71	-0.26557415975746324
1106	72-73	-0.2314710828350215
1106	74-75	-0.16654561038864557
1106	76-77	-0.21729957431262648
1106	78-79	-0.07148286615203148
1106	80-81	-0.14245768744724785
1106	82-83	-0.3041564632238334
1106	84-85	-0.22235318799901904
1106	86-87	-0.21613720556858596
1106	88-89	-0.3110530451235718
1106	90-91	-0.3105929363839195
1106	92-93	-0.3726122588334704
1106	94-95	-0.30745352484051836
1106	96-97	-0.3145544827463098
1106	98-99	-0.269478977125857
1106	100-101	-0.33669466025139627
1107	1	-0.687001791737682
1107	2	-0.3443388972455601
1107	3	-1.0239138884646266
1107	4	-0.8234637482987068
1107	5	-0.7696927214894203
1107	6	-0.8558155800441796
1107	7	-0.8460730431500494
1107	8	-0.8421764251415738
1107	9	-0.808470532375182
1107	10-11	-0.7956822957899874
1107	12-13	-0.8575628916943856
1107	14-15	-0.9003272338031891
1107	16-17	-0.38708913846620874
1107	18-19	-0.16661318233613542
1107	20-21	-0.09148144063030372
1107	22-23	-0.24480169187363998
1107	24-25	-0.10768761129369864
1107	26-27	-0.12575650629554502
1107	28-29	-0.23848599840315643
1107	30-31	-0.3557303729122552
1107	32-33	-0.12441183650295073
1107	34-35	-0.15262472431917473
1107	36-37	-0.24164009861477354
1107	38-39	-0.4544005693063937
1107	40-41	-0.42852304878598346
1107	42-43	-0.4035554641526744
1107	44-45	-0.3097683617288638
1107	46-47	-0.1991371247064535
1107	48-49	-0.15914182895482298
